KICID|Teff|Teff_err|logg|logg_err|FeH|FeH_err|M_noCorrection|err|R_noCorrection|err|M_RGB|err|R_RGB|err|M_Clump|err|R_Clump|err|EvoPhase|
2020383|4859|150|2.935|0.009|-0.52|0.30|1.33|0.09|6.50|0.15|1.18|0.08|6.14|0.14|1.33|0.09|6.50|0.15|1|
2020876|4750|144|2.439|0.017|-0.46|0.30|1.30|0.17|11.40|0.54|1.14|0.15|10.65|0.50|1.27|0.16|11.27|0.53|2|
2021216|4885|146|3.180|0.008|-0.27|0.30|1.30|0.08|4.85|0.11|1.20|0.07|4.66|0.10|1.32|0.08|4.88|0.11|1|
2140446|4665|100|2.662|0.008|0.32|0.15|1.51|0.09|9.50|0.20|1.40|0.08|9.15|0.19|1.53|0.09|9.55|0.20|1|
2140982|4863|143|2.449|0.011|-0.73|0.30|1.24|0.10|11.00|0.34|1.09|0.09|10.31|0.32|1.22|0.10|10.91|0.34|2|
2141255|4913|80|3.083|0.006|-0.17|0.15|1.22|0.06|5.26|0.09|1.16|0.05|5.12|0.09|1.23|0.06|5.28|0.09|1|
2141413|4868|146|2.580|0.010|-0.13|0.30|1.59|0.11|10.72|0.27|1.48|0.10|10.33|0.26|1.62|0.11|10.80|0.27|1|
2141436|4950|147|2.960|0.008|-0.15|0.30|1.23|0.07|6.08|0.13|1.18|0.07|5.96|0.13|1.24|0.07|6.10|0.13|1|
2141928|4757|100|2.434|0.012|0.16|0.15|1.11|0.10|10.58|0.37|1.06|0.10|10.33|0.36|1.11|0.10|10.60|0.37|2|
2141932|4429|80|2.280|0.010|0.28|0.15|1.36|0.10|13.97|0.40|1.20|0.09|13.13|0.37|1.35|0.10|13.93|0.40|1|
2142095|4932|100|2.390|0.016|-0.43|0.15|1.24|0.15|11.80|0.50|1.15|0.14|11.33|0.47|1.27|0.15|11.90|0.50|2|
2142280|4775|142|2.348|0.016|-0.33|0.30|0.92|0.12|10.61|0.58|0.82|0.11|10.05|0.54|0.91|0.12|10.57|0.58|2|
2142405|5137|156|2.851|0.016|-0.73|0.30|2.12|0.25|9.06|0.37|2.05|0.24|8.91|0.37|2.25|0.26|9.33|0.39|2|
2142508|4801|143|2.486|0.009|-0.02|0.30|1.49|0.11|11.55|0.31|1.38|0.10|11.12|0.30|1.51|0.11|11.62|0.31|2|
2142628|4644|162|2.718|0.037|-0.06|0.30|1.50|0.46|8.86|1.07|1.34|0.41|8.38|1.00|1.49|0.46|8.86|1.07|2|
2142675|5064|158|2.579|0.012|-0.57|0.30|1.76|0.15|11.27|0.34|1.66|0.14|10.95|0.33|1.82|0.15|11.48|0.34|2|
2155148|5202|167|2.467|0.013|-0.06|0.30|1.42|0.14|11.52|0.43|1.46|0.15|11.68|0.44|1.44|0.15|11.62|0.43|2|
2155220|5065|150|2.460|0.014|0.01|0.30|1.16|0.13|10.50|0.44|1.19|0.13|10.63|0.45|1.17|0.13|10.53|0.45|2|
2155506|4400|154|1.790|0.012|-0.46|0.30|0.98|0.10|20.90|0.80|0.82|0.08|19.12|0.72|0.94|0.09|20.45|0.78|0|
2155869|4758|80|2.873|0.011|0.21|0.15|1.55|0.12|7.54|0.21|1.45|0.11|7.31|0.20|1.58|0.12|7.61|0.21|1|
2156074|5248|167|2.567|0.021|-0.26|0.30|1.95|0.32|12.03|0.77|1.98|0.33|12.14|0.78|2.01|0.34|12.23|0.79|2|
2156155|5249|162|2.977|0.010|-0.16|0.30|1.85|0.13|7.31|0.18|1.89|0.13|7.39|0.18|1.90|0.13|7.41|0.18|1|
2156178|4853|80|2.381|0.011|-0.57|0.15|1.00|0.11|10.68|0.52|0.89|0.10|10.07|0.48|0.99|0.11|10.62|0.51|2|
2156988|4924|147|2.391|0.014|-0.14|0.30|0.95|0.10|10.28|0.39|0.94|0.10|10.24|0.39|0.94|0.10|10.26|0.39|2|
2157059|4424|80|2.265|0.007|-0.16|0.15|1.26|0.07|13.69|0.29|1.09|0.06|12.74|0.27|1.23|0.07|13.52|0.29|1|
2157650|4832|80|3.050|0.006|0.19|0.15|1.39|0.07|5.83|0.10|1.33|0.06|5.70|0.10|1.41|0.07|5.86|0.11|1|
2157725|4925|80|2.375|0.011|-0.52|0.15|1.34|0.12|12.45|0.40|1.22|0.11|11.88|0.38|1.36|0.12|12.54|0.41|2|
2157928|4963|156|2.335|0.011|-0.34|0.30|0.98|0.15|11.13|0.78|0.94|0.14|10.94|0.76|0.99|0.15|11.19|0.79|2|
2157964|4832|144|2.373|0.022|-0.08|0.30|1.22|0.26|11.89|1.06|1.14|0.24|11.50|1.01|1.22|0.26|11.92|1.06|2|
2158410|4955|80|2.607|0.017|0.25|0.15|3.08|0.38|14.43|0.63|3.24|0.40|14.81|0.65|3.26|0.41|14.85|0.65|2|
2158815|4966|159|2.428|0.010|-0.38|0.30|1.05|0.09|10.35|0.37|1.00|0.09|10.11|0.36|1.06|0.10|10.43|0.38|2|
2159728|4790|167|2.802|0.011|-0.28|0.30|1.41|0.12|7.81|0.23|1.26|0.10|7.39|0.22|1.41|0.12|7.80|0.23|1|
2159864|4870|80|2.797|0.007|-0.05|0.15|1.71|0.09|8.64|0.17|1.60|0.09|8.37|0.17|1.74|0.10|8.73|0.18|1|
2160161|4776|80|2.568|0.010|0.14|0.15|1.68|0.12|11.17|0.30|1.57|0.11|10.80|0.29|1.72|0.13|11.28|0.30|2|
2160572|4942|147|2.427|0.011|0.06|0.30|1.23|0.10|11.23|0.32|1.22|0.10|11.17|0.32|1.24|0.10|11.28|0.32|2|
2160779|4992|158|2.580|0.010|-0.55|0.30|1.18|0.09|9.25|0.24|1.10|0.08|8.92|0.23|1.21|0.09|9.36|0.24|1|
2160901|4683|80|2.672|0.009|0.28|0.15|1.62|0.10|9.72|0.22|1.50|0.10|9.36|0.21|1.65|0.10|9.80|0.22|1|
2160910|4972|80|2.987|0.006|-0.38|0.15|1.26|0.06|5.97|0.11|1.18|0.06|5.79|0.10|1.28|0.06|6.03|0.11|1|
2161407|4856|152|2.362|0.019|-0.15|0.30|0.92|0.15|10.47|0.65|0.89|0.14|10.31|0.64|0.92|0.15|10.48|0.66|2|
2161409|4838|80|2.905|0.007|0.13|0.15|1.55|0.08|7.27|0.13|1.47|0.07|7.08|0.13|1.57|0.08|7.32|0.14|1|
2161731|5107|148|2.930|0.009|0.09|0.30|2.26|0.16|8.54|0.23|2.32|0.17|8.65|0.23|2.34|0.17|8.68|0.23|2|
2161831|4877|80|3.074|0.006|-0.24|0.15|1.14|0.05|5.13|0.09|1.06|0.05|4.96|0.09|1.15|0.05|5.15|0.09|1|
2162486|4820|80|2.470|0.008|-0.34|0.15|1.33|0.09|11.12|0.29|1.19|0.08|10.53|0.27|1.33|0.09|11.11|0.28|2|
2163121|4924|80|2.485|0.012|-0.25|0.15|1.69|0.16|12.33|0.43|1.58|0.15|11.90|0.41|1.73|0.16|12.46|0.44|2|
2163597|4878|152|2.437|0.016|-0.05|0.30|1.15|0.14|10.73|0.48|1.10|0.14|10.51|0.47|1.16|0.14|10.76|0.48|2|
2163605|4893|166|2.466|0.014|-1.38|0.30|1.32|0.56|11.11|2.31|1.14|0.46|10.33|2.07|1.28|0.54|10.95|2.26|2|
2163856|5026|80|2.791|0.007|0.04|0.15|2.76|0.15|11.06|0.23|2.83|0.15|11.20|0.23|2.88|0.16|11.30|0.23|2|
2164262|4708|80|2.689|0.007|0.18|0.15|1.49|0.08|9.13|0.17|1.38|0.07|8.78|0.17|1.51|0.08|9.20|0.18|1|
2164327|4854|80|2.564|0.011|0.09|0.15|1.67|0.14|11.17|0.33|1.58|0.13|10.86|0.32|1.70|0.14|11.28|0.33|2|
2164379|4699|80|2.986|0.006|0.48|0.30|1.32|0.06|6.12|0.11|1.23|0.06|5.90|0.11|1.30|0.06|6.06|0.11|1|
2164874|4447|80|1.977|0.021|0.23|0.15|1.49|0.36|20.78|2.21|1.33|0.31|19.59|2.04|1.49|0.35|20.74|2.20|1|
2165198|4815|80|2.857|0.008|0.21|0.15|1.67|0.10|7.99|0.16|1.58|0.09|7.77|0.16|1.71|0.10|8.07|0.17|1|
2165371|4227|147|1.708|0.013|0.00|0.30|0.88|0.17|21.74|1.99|0.73|0.14|19.79|1.74|0.86|0.17|21.48|1.96|0|
2165450|5003|80|2.941|0.008|0.16|0.15|2.45|0.15|8.78|0.20|2.49|0.15|8.84|0.20|2.53|0.16|8.91|0.20|2|
2165589|4999|159|2.370|0.012|-0.32|0.30|0.92|0.12|10.35|0.61|0.91|0.12|10.33|0.61|0.93|0.12|10.41|0.62|2|
2165615|5003|80|2.494|0.013|-0.60|0.15|1.64|0.17|12.00|0.48|1.52|0.15|11.54|0.45|1.68|0.17|12.16|0.48|2|
2165710|5003|159|2.481|0.010|-0.51|0.30|1.47|0.11|11.52|0.30|1.37|0.10|11.12|0.29|1.50|0.11|11.67|0.31|2|
2165894|4802|147|2.668|0.009|0.11|0.30|1.51|0.10|9.44|0.23|1.42|0.10|9.15|0.22|1.54|0.10|9.51|0.23|1|
2166119|4997|155|3.076|0.008|-0.28|0.30|1.18|0.07|5.21|0.12|1.14|0.07|5.12|0.11|1.19|0.07|5.24|0.12|1|
2166223|4790|80|2.729|0.007|0.17|0.15|1.40|0.08|8.47|0.17|1.33|0.07|8.24|0.16|1.42|0.08|8.53|0.17|1|
2166393|4984|161|2.522|0.011|-0.21|0.30|1.70|0.13|11.82|0.32|1.61|0.12|11.51|0.31|1.74|0.13|11.96|0.33|1|
2166709|4893|80|3.266|0.008|-0.19|0.15|1.05|0.06|3.95|0.08|1.00|0.06|3.86|0.08|1.05|0.06|3.96|0.08|1|
2166766|5023|156|2.592|0.009|-0.23|0.30|1.94|0.17|11.67|0.43|1.86|0.16|11.41|0.42|2.00|0.18|11.84|0.44|2|
2166769|4933|80|2.702|0.017|-0.10|0.15|1.86|0.25|10.06|0.51|1.76|0.23|9.79|0.49|1.90|0.25|10.19|0.51|2|
2167447|4867|151|2.481|0.014|-0.16|0.30|1.41|0.14|11.31|0.42|1.31|0.13|10.91|0.41|1.44|0.15|11.41|0.43|2|
2167774|4710|80|2.680|0.007|0.10|0.15|1.57|0.08|9.48|0.18|1.44|0.08|9.09|0.17|1.59|0.08|9.55|0.18|1|
2168184|5013|80|2.394|0.013|-0.54|0.15|1.30|0.15|11.98|0.58|1.21|0.14|11.58|0.56|1.33|0.16|12.13|0.59|2|
2282855|4750|166|2.534|0.025|-0.50|0.30|1.77|0.64|11.89|2.03|1.56|0.56|11.19|1.86|1.73|0.63|11.77|2.00|2|
2283075|4688|80|2.742|0.007|0.21|0.15|1.56|0.08|8.79|0.17|1.44|0.07|8.44|0.16|1.58|0.08|8.86|0.17|1|
2283093|4552|80|1.981|0.021|0.15|0.15|2.70|0.47|27.81|1.87|2.58|0.45|27.21|1.82|2.74|0.47|28.01|1.89|0|
2283435|4963|151|2.408|0.017|-1.14|0.30|0.92|0.13|9.93|0.54|0.82|0.11|9.38|0.51|0.94|0.13|10.02|0.55|2|
2283532|4774|138|2.485|0.011|-0.20|0.30|1.29|0.10|10.78|0.30|1.17|0.09|10.23|0.29|1.30|0.10|10.79|0.30|1|
2283721|4746|80|2.807|0.007|-0.19|0.15|1.16|0.06|7.04|0.13|1.04|0.05|6.67|0.12|1.16|0.06|7.03|0.13|1|
2284278|4248|148|1.768|0.022|-0.22|0.30|1.62|0.27|27.56|1.64|1.47|0.24|26.19|1.55|1.60|0.26|27.32|1.63|0|
2284330|4897|100|2.371|0.014|-0.23|0.15|1.19|0.13|11.77|0.47|1.11|0.12|11.40|0.45|1.20|0.13|11.82|0.47|2|
2284679|4832|80|3.206|0.006|-0.46|0.15|0.99|0.05|4.10|0.07|0.88|0.04|3.88|0.07|0.98|0.04|4.09|0.07|1|
2285551|4915|152|2.668|0.009|-0.01|0.30|1.36|0.10|8.96|0.23|1.31|0.09|8.78|0.23|1.38|0.10|9.02|0.24|1|
2285776|4964|149|2.437|0.012|-0.01|0.30|1.28|0.12|11.32|0.37|1.26|0.11|11.22|0.37|1.29|0.12|11.37|0.37|2|
2285827|4795|80|3.131|0.006|0.30|0.15|1.31|0.06|5.16|0.09|1.26|0.06|5.06|0.09|1.32|0.06|5.17|0.09|1|
2285898|4774|80|2.302|0.012|-0.10|0.15|0.63|0.06|9.26|0.37|0.65|0.07|9.44|0.38|0.65|0.07|9.44|0.38|2|
2285941|5041|149|3.091|0.008|-0.44|0.30|1.20|0.07|5.16|0.11|1.14|0.07|5.04|0.11|1.22|0.08|5.21|0.12|1|
2297384|4534|80|2.388|0.014|0.41|0.15|1.20|0.14|11.61|0.51|1.08|0.12|11.03|0.48|1.20|0.14|11.59|0.51|2|
2297785|4942|80|2.602|0.009|-0.07|0.15|2.16|0.16|12.18|0.34|2.08|0.15|11.95|0.33|2.22|0.16|12.34|0.35|2|
2297825|4580|80|2.395|0.012|0.42|0.15|1.20|0.14|11.50|0.55|1.11|0.13|11.08|0.53|1.20|0.14|11.50|0.55|2|
2299888|4971|80|2.379|0.013|-0.72|0.15|0.66|0.08|8.72|0.42|0.63|0.07|8.50|0.41|0.71|0.08|8.99|0.44|2|
2299926|4980|149|2.536|0.011|-0.51|0.30|1.58|0.13|11.24|0.33|1.47|0.12|10.82|0.31|1.62|0.13|11.38|0.33|2|
2300227|4676|80|2.689|0.007|-0.24|0.15|1.19|0.06|8.19|0.15|1.05|0.05|7.67|0.14|1.18|0.06|8.13|0.15|1|
2300329|4391|80|2.082|0.013|0.10|0.15|1.23|0.14|16.74|0.78|1.07|0.12|15.61|0.71|1.21|0.14|16.60|0.77|1|
2300494|4938|153|2.448|0.013|-0.21|0.30|1.28|0.13|11.19|0.40|1.21|0.12|10.89|0.39|1.30|0.13|11.26|0.41|2|
2300503|4413|80|2.029|0.010|-0.17|0.15|1.34|0.11|18.56|0.54|1.17|0.09|17.32|0.50|1.31|0.10|18.33|0.53|1|
2300853|4946|168|2.447|0.010|0.24|0.30|1.22|0.10|10.94|0.37|1.23|0.11|10.98|0.37|1.23|0.10|10.96|0.37|2|
2300962|5166|169|2.401|0.017|-0.21|0.30|0.94|0.11|10.09|0.42|0.98|0.12|10.32|0.43|0.93|0.11|10.08|0.42|2|
2301349|4627|80|2.717|0.007|0.37|0.15|1.38|0.07|8.52|0.16|1.28|0.07|8.19|0.16|1.38|0.07|8.53|0.16|1|
2301577|4855|80|2.467|0.013|-0.47|0.15|1.25|0.13|10.83|0.43|1.12|0.11|10.25|0.40|1.25|0.13|10.84|0.43|2|
2302010|4953|155|2.431|0.010|-0.34|0.30|1.27|0.10|11.37|0.31|1.19|0.09|11.01|0.30|1.30|0.10|11.48|0.31|2|
2303101|4921|100|3.144|0.007|0.23|0.15|1.18|0.06|4.82|0.09|1.19|0.06|4.83|0.09|1.18|0.06|4.83|0.09|1|
2303200|4643|80|2.639|0.007|0.02|0.15|1.29|0.07|9.02|0.18|1.16|0.06|8.54|0.17|1.29|0.07|9.03|0.18|1|
2303304|4937|152|2.511|0.010|-0.60|0.30|1.15|0.09|9.86|0.26|1.04|0.08|9.40|0.25|1.17|0.09|9.94|0.26|1|
2303367|4862|100|2.443|0.013|0.18|0.15|1.23|0.12|11.03|0.38|1.20|0.12|10.91|0.37|1.24|0.12|11.07|0.38|2|
2303414|4773|80|2.722|0.008|0.05|0.15|1.53|0.09|8.93|0.19|1.42|0.08|8.59|0.19|1.55|0.09|8.99|0.20|1|
2303610|4516|158|2.159|0.023|0.06|0.30|1.24|0.28|15.37|1.48|1.09|0.24|14.43|1.36|1.23|0.28|15.31|1.47|0|
2303756|4952|153|2.350|0.015|-0.19|0.30|0.79|0.09|9.84|0.42|0.82|0.09|10.01|0.43|0.80|0.09|9.91|0.42|2|
2303870|4777|144|2.255|0.017|-0.39|0.30|1.19|0.19|13.46|0.94|1.05|0.17|12.63|0.86|1.17|0.19|13.36|0.93|2|
2303954|4955|156|2.726|0.009|-0.39|0.30|1.36|0.09|8.37|0.20|1.27|0.09|8.08|0.20|1.39|0.10|8.47|0.21|1|
2304104|4629|80|2.432|0.014|0.40|0.15|1.35|0.15|11.71|0.53|1.24|0.14|11.23|0.50|1.35|0.15|11.69|0.53|2|
2304765|4373|100|1.734|0.023|0.37|0.15|2.27|0.44|33.91|2.53|2.10|0.40|32.58|2.41|2.28|0.44|33.95|2.53|1|
2304883|4897|151|2.359|0.012|-0.10|0.30|0.95|0.11|10.66|0.54|0.94|0.11|10.61|0.53|0.95|0.11|10.66|0.54|2|
2305082|5055|163|2.365|0.010|-0.37|0.30|0.61|0.06|8.52|0.31|0.66|0.06|8.85|0.32|0.62|0.06|8.55|0.31|2|
2305145|5055|80|2.932|0.010|0.08|0.15|2.14|0.17|8.27|0.25|2.14|0.17|8.28|0.25|2.20|0.18|8.40|0.26|2|
2305407|5007|80|3.149|0.010|-0.03|0.15|1.54|0.11|5.48|0.14|1.50|0.11|5.41|0.14|1.56|0.11|5.52|0.14|1|
2305479|4653|80|2.799|0.007|0.30|0.15|1.33|0.07|7.61|0.14|1.23|0.06|7.32|0.13|1.34|0.07|7.63|0.14|1|
2305590|4607|80|2.593|0.007|-0.27|0.15|1.23|0.06|9.29|0.18|1.07|0.06|8.66|0.17|1.21|0.06|9.19|0.18|1|
2305930|4891|100|2.347|0.015|-0.69|0.15|0.72|0.12|9.44|0.72|0.65|0.11|8.98|0.67|0.74|0.13|9.52|0.73|2|
2305969|4811|147|2.371|0.012|-0.31|0.30|0.97|0.10|10.62|0.47|0.88|0.09|10.13|0.45|0.96|0.10|10.59|0.47|2|
2305987|4679|80|2.630|0.013|0.19|0.15|1.38|0.13|9.43|0.31|1.27|0.12|9.05|0.29|1.40|0.13|9.48|0.31|1|
2305992|4778|80|2.911|0.006|0.11|0.15|1.41|0.07|6.88|0.12|1.32|0.06|6.66|0.12|1.43|0.07|6.92|0.12|1|
2306481|4921|80|2.477|0.008|-0.15|0.15|1.40|0.11|11.31|0.37|1.32|0.10|10.99|0.35|1.42|0.11|11.41|0.37|2|
2307683|4799|100|2.509|0.008|-0.23|0.15|1.58|0.10|11.58|0.26|1.42|0.09|10.99|0.24|1.59|0.10|11.62|0.26|1|
2308196|5089|161|2.775|0.009|-0.42|0.30|1.42|0.09|8.08|0.19|1.37|0.09|7.93|0.19|1.46|0.10|8.19|0.20|1|
2308429|4930|80|3.334|0.009|0.14|0.15|1.36|0.09|4.16|0.11|1.34|0.09|4.12|0.11|1.38|0.10|4.19|0.11|1|
2308762|4227|147|1.634|0.019|-0.08|0.30|1.04|0.20|25.71|2.11|0.88|0.16|23.63|1.88|1.00|0.19|25.29|2.06|0|
2308968|4971|151|2.450|0.011|-1.12|0.30|0.53|0.06|7.18|0.38|0.48|0.06|6.82|0.35|0.58|0.07|7.52|0.40|2|
2309235|4848|148|2.457|0.014|-0.06|0.30|1.37|0.16|11.45|0.53|1.28|0.15|11.08|0.51|1.39|0.16|11.53|0.54|2|
2309286|4785|146|2.513|0.010|0.04|0.30|2.09|0.15|13.26|0.35|1.95|0.14|12.81|0.33|2.13|0.16|13.38|0.35|1|
2309469|4710|100|2.356|0.010|0.22|0.15|1.20|0.10|12.04|0.37|1.12|0.09|11.66|0.35|1.20|0.10|12.06|0.37|2|
2309550|4863|80|2.613|0.012|0.00|0.15|1.70|0.15|10.67|0.34|1.60|0.14|10.35|0.33|1.74|0.15|10.78|0.34|2|
2309617|5018|160|2.438|0.011|0.00|0.30|1.10|0.10|10.52|0.36|1.13|0.10|10.62|0.37|1.11|0.10|10.55|0.36|2|
2309720|5103|152|3.109|0.008|-0.34|0.30|1.43|0.09|5.52|0.12|1.39|0.09|5.45|0.12|1.46|0.09|5.59|0.12|1|
2310571|4761|80|2.383|0.016|-0.16|0.15|0.85|0.27|9.81|1.49|0.79|0.25|9.49|1.42|0.85|0.27|9.85|1.50|2|
2311069|4623|137|2.394|0.010|0.00|0.30|1.30|0.10|11.99|0.33|1.16|0.09|11.32|0.31|1.30|0.10|11.99|0.33|1|
2311548|4746|80|2.467|0.013|-0.01|0.15|1.48|0.15|11.74|0.46|1.35|0.14|11.24|0.44|1.49|0.15|11.81|0.46|2|
2421920|4936|150|2.416|0.010|-0.55|0.30|1.43|0.11|12.27|0.33|1.30|0.10|11.71|0.32|1.45|0.11|12.37|0.34|2|
2422073|4549|100|2.314|0.010|0.06|0.15|1.27|0.09|13.00|0.34|1.12|0.08|12.23|0.31|1.26|0.09|12.97|0.34|1|
2422558|4763|80|2.949|0.006|0.34|0.15|1.49|0.07|6.78|0.12|1.41|0.07|6.60|0.12|1.50|0.07|6.80|0.12|1|
2422568|4994|151|2.377|0.015|0.21|0.30|0.84|0.12|9.81|0.58|0.88|0.12|10.08|0.60|0.84|0.12|9.85|0.58|2|
2422635|4943|100|2.953|0.009|-0.03|0.15|1.50|0.09|6.78|0.15|1.44|0.09|6.64|0.15|1.52|0.10|6.83|0.15|1|
2423694|5020|157|2.747|0.010|0.15|0.30|1.81|0.13|9.43|0.24|1.78|0.13|9.37|0.24|1.85|0.13|9.54|0.24|1|
2423737|5031|153|2.495|0.014|0.01|0.30|1.49|0.16|11.44|0.46|1.48|0.16|11.38|0.45|1.51|0.16|11.52|0.46|2|
2423824|5096|100|2.264|0.012|-0.39|0.15|1.92|0.21|16.93|0.78|1.85|0.20|16.61|0.76|1.98|0.22|17.19|0.79|2|
2423932|4462|156|2.160|0.016|-0.22|0.30|1.55|0.18|17.14|0.71|1.36|0.16|16.10|0.66|1.51|0.18|16.95|0.70|1|
2424822|5060|100|2.897|0.007|0.04|0.15|1.88|0.10|8.08|0.16|1.86|0.10|8.03|0.16|1.93|0.11|8.18|0.16|1|
2424934|4963|100|2.443|0.010|-0.18|0.15|1.36|0.10|11.60|0.34|1.30|0.10|11.33|0.33|1.38|0.11|11.70|0.35|2|
2424955|4681|80|2.616|0.008|-0.01|0.15|1.36|0.08|9.50|0.20|1.22|0.07|9.02|0.19|1.36|0.08|9.52|0.20|1|
2425044|4892|150|2.556|0.010|0.22|0.30|1.92|0.14|12.10|0.31|1.85|0.14|11.88|0.31|1.96|0.14|12.22|0.32|2|
2425316|4691|145|2.148|0.014|-0.89|0.30|1.22|0.13|15.43|0.57|1.02|0.11|14.14|0.52|1.14|0.12|14.90|0.55|0|
2425348|4745|140|2.408|0.013|-0.24|0.30|1.64|0.15|13.26|0.43|1.46|0.14|12.54|0.41|1.63|0.15|13.24|0.43|2|
2425375|4746|138|2.529|0.010|-0.07|0.30|1.65|0.12|11.56|0.29|1.50|0.11|11.02|0.28|1.66|0.12|11.61|0.29|1|
2425631|4568|100|2.222|0.010|-0.10|0.15|1.72|0.12|16.82|0.43|1.54|0.11|15.91|0.41|1.71|0.12|16.76|0.43|1|
2435987|4448|80|2.477|0.009|0.29|0.15|1.40|0.09|11.31|0.27|1.24|0.08|10.65|0.25|1.40|0.09|11.29|0.27|1|
2436097|4550|143|2.527|0.010|0.13|0.30|1.48|0.11|10.99|0.29|1.33|0.10|10.40|0.27|1.49|0.11|11.00|0.29|1|
2436209|4500|80|2.656|0.007|0.28|0.15|1.40|0.08|9.21|0.19|1.25|0.07|8.71|0.17|1.40|0.08|9.21|0.19|1|
2436332|4196|124|2.333|0.012|-0.28|0.30|1.21|0.10|12.42|0.37|1.05|0.09|11.56|0.34|1.17|0.10|12.21|0.36|1|
2436417|4506|80|2.327|0.012|0.35|0.15|1.09|0.09|11.84|0.37|0.97|0.08|11.22|0.35|1.08|0.09|11.81|0.37|2|
2436457|5117|152|2.935|0.008|-0.05|0.30|1.23|0.08|6.26|0.14|1.26|0.08|6.33|0.14|1.24|0.08|6.28|0.14|1|
2436458|4481|143|2.470|0.012|0.03|0.30|1.40|0.12|11.39|0.34|1.23|0.11|10.70|0.32|1.38|0.12|11.33|0.34|1|
2436540|4486|80|2.659|0.008|0.28|0.15|1.37|0.08|9.07|0.20|1.22|0.08|8.57|0.19|1.37|0.08|9.07|0.20|1|
2436676|4820|166|3.035|0.013|0.07|0.30|1.25|0.12|5.64|0.19|1.19|0.11|5.49|0.19|1.27|0.12|5.66|0.20|1|
2436688|4791|100|2.790|0.008|0.31|0.15|1.40|0.09|7.89|0.17|1.34|0.08|7.72|0.17|1.41|0.09|7.92|0.17|1|
2436732|4718|154|2.397|0.014|0.07|0.30|1.35|0.14|12.21|0.46|1.24|0.13|11.70|0.44|1.37|0.14|12.26|0.47|2|
2436814|4225|123|2.265|0.011|-0.27|0.30|1.07|0.09|12.62|0.36|0.91|0.07|11.63|0.33|1.03|0.08|12.39|0.35|2|
2436824|4218|124|2.411|0.009|-0.27|0.30|1.26|0.08|11.56|0.28|1.09|0.07|10.79|0.26|1.22|0.08|11.37|0.27|1|
2436900|4423|80|2.444|0.008|0.24|0.15|1.31|0.08|11.36|0.26|1.15|0.07|10.66|0.25|1.30|0.08|11.31|0.26|1|
2436912|4755|160|2.387|0.013|0.10|0.30|1.13|0.11|11.29|0.39|1.07|0.10|10.95|0.37|1.14|0.11|11.32|0.39|2|
2437040|4352|80|2.295|0.011|0.34|0.15|1.40|0.12|13.97|0.41|1.23|0.10|13.10|0.38|1.39|0.11|13.89|0.41|1|
2437103|4731|171|2.369|0.025|0.20|0.30|1.00|0.18|10.83|0.70|0.96|0.18|10.64|0.68|1.00|0.18|10.84|0.70|2|
2437191|4792|80|3.034|0.007|0.21|0.15|1.34|0.07|5.82|0.12|1.28|0.07|5.68|0.11|1.35|0.07|5.85|0.12|1|
2437240|4638|149|2.561|0.011|0.12|0.30|1.41|0.11|10.32|0.28|1.28|0.10|9.83|0.27|1.42|0.11|10.36|0.28|1|
2437340|4119|80|1.803|0.012|0.30|0.15|1.17|0.11|22.46|0.77|1.00|0.09|20.76|0.70|1.15|0.11|22.24|0.76|1|
2437353|4553|80|2.402|0.012|0.38|0.15|1.17|0.11|11.29|0.39|1.07|0.10|10.77|0.37|1.17|0.11|11.27|0.39|2|
2437402|4308|124|2.568|0.011|-0.27|0.30|1.55|0.12|10.72|0.31|1.38|0.11|10.13|0.29|1.52|0.12|10.60|0.31|2|
2437444|4351|143|2.168|0.014|0.07|0.30|1.42|0.14|16.26|0.58|1.24|0.12|15.22|0.54|1.39|0.14|16.12|0.57|0|
2437488|4735|153|2.711|0.010|0.01|0.30|1.42|0.10|8.70|0.22|1.30|0.09|8.33|0.21|1.44|0.10|8.75|0.22|1|
2437507|4312|80|2.197|0.009|0.32|0.15|1.37|0.09|15.44|0.38|1.20|0.08|14.44|0.35|1.35|0.09|15.34|0.38|1|
2437539|4166|125|2.556|0.010|-1.36|0.30|1.31|0.09|9.97|0.25|1.25|0.09|9.75|0.24|1.30|0.09|9.94|0.25|1|
2437564|4522|80|2.411|0.013|0.40|0.15|1.28|0.13|11.66|0.44|1.17|0.12|11.17|0.42|1.30|0.13|11.74|0.45|2|
2437589|4185|125|2.548|0.011|-1.26|0.30|1.57|0.13|11.06|0.31|1.53|0.12|10.89|0.31|1.61|0.13|11.18|0.32|1|
2437653|4389|125|2.757|0.008|-0.26|0.30|1.25|0.08|7.74|0.17|1.08|0.07|7.20|0.16|1.21|0.07|7.62|0.17|1|
2437692|4828|80|2.561|0.018|0.26|0.15|1.50|0.20|10.63|0.48|1.44|0.19|10.40|0.47|1.52|0.20|10.70|0.48|2|
2437698|4263|125|2.375|0.017|-0.61|0.30|1.11|0.13|11.32|0.47|0.95|0.11|10.51|0.44|1.06|0.13|11.10|0.46|2|
2437781|4745|150|2.835|0.009|0.07|0.30|1.39|0.09|7.47|0.18|1.29|0.09|7.18|0.17|1.41|0.09|7.51|0.18|1|
2437804|4482|80|2.322|0.018|0.42|0.15|1.14|0.15|12.19|0.56|1.04|0.13|11.65|0.54|1.14|0.15|12.23|0.57|2|
