ID,teff,teff_error,dnu,dnu_error,numax,numax_error,bp_rp,eps,eps_error,eps_mod
8283958,4764,100,4.007,0.013,36.13,0.42,1.2507505,1.00566576654322,0.010995442282186,1.00566576654322
8284032,4807,100,4.294,0.013,39.21,0.56,1.2630625,1.04390937587663,0.010837609211956,1.04390937587663
8284682,4650,100,3.59,0.023,29.38,0.57,1.3414536,0.653530257632575,0.023417566335863,0.653530257632575
8285510,4784,100,3.099,0.013,24.72,0.31,1.2595911,0.771733486404904,0.029037114086104,0.771733486404904
8350443,4858,100,3.959,0.04,31.56,0.79,1.2214556,0.648332327828904,0.026235069209698,0.648332327828904
8350645,4761,100,5.239,0.012,54.1,0.6,1.2868509,1.05928630805574,0.009585813450751,1.05928630805574
8354896,5042,100,8.334,0.018,97.04,0.9,1.1334448,1.15416120906216,0.008912932406813,1.15416120906216
8366239,4947,80,13.71,0.025,184.32,1.23,1.1445084,1.25802555503279,0.007413074698159,1.25802555503279
8415501,4740,100,3.627,0.013,32.24,0.43,1.287055,1.00339541107408,0.012689802209925,1.00339541107408
8475025,4937,100,9.595,0.022,112.63,0.61,1.1962824,1.18495837916984,0.00828957769054,1.18495837916984
8479182,4738,100,3.785,0.055,33.59,0.72,1.2877569,1.09075660102348,0.01566813542203,1.09075660102348
8479383,4761,100,4.035,0.04,32.58,0.64,1.2139158,0.633816928158819,0.025087957065408,0.633816928158819
8479780,5048,100,4.424,0.043,40,0.8,1.1450872,0.962508590134303,0.015581500562456,0.962508590134303
8482522,4759,140,3.891,0.03,32.36,1.11,1.4005013,0.623359297571829,0.021585811362013,0.623359297571829
8545291,4839,100,5.796,0.014,54.44,0.64,1.2568207,1.10550489902605,0.007423062271103,1.10550489902605
8545504,5077,100,9.229,0.015,109.99,0.56,1.1812592,1.16368047377196,0.008727565480258,1.16368047377196
8564559,4965,100,4.71,0.017,45.65,1.21,1.2637024,1.00152976435704,0.012109666339483,1.00152976435704
8565016,4680,100,6.066,0.011,61.34,0.52,1.3828583,1.07663355427377,0.008782073462881,1.07663355427377
8607581,5055,100,4.294,0.075,35.7,0.73,1.1747265,0.989615054170871,0.014653531672956,0.989615054170871
8611114,4910,100,4.067,0.121,33.26,0.89,1.1925411,0.592784475943271,0.034398725591697,0.592784475943271
8612520,4894,100,4.228,0.016,43.15,0.68,1.2866879,0.81585744780634,0.022409145502629,0.81585744780634
8613617,5072,100,13.54,0.017,169.91,0.94,1.1499815,1.23933030720264,0.006088799551626,1.23933030720264
