# dnu numax eps d02 alpha env_height env_width mode_width teff bp_rp logL logPrior
1.231453411646315610e+00 2.354756196507298949e+00 1.312133846007179638e+00 3.570591525856732229e-01 -2.121844338993847501e+00 1.313267527893152709e+00 1.381066760579957364e+00 -6.992144378915648995e-01 3.698840309172231500e+00 1.216073018348489354e+00 -1.724192241894553263e+03 -1.023267766678296198e+01
1.230389616854010715e+00 2.351495421112055784e+00 1.341099167273491322e+00 3.453651373096860988e-01 -2.146422782135017471e+00 1.193440452361030024e+00 1.370951952834568388e+00 -6.738174184096964447e-01 3.691953658653401860e+00 1.232341443772252187e+00 -1.724179981602945645e+03 -5.623898952829838649e+00
1.230374720294847402e+00 2.351805375953234911e+00 1.342226845024425463e+00 3.348450430239064413e-01 -2.263747594181801492e+00 1.309331015294165512e+00 1.332234970903029669e+00 -6.074330965500148727e-01 3.704473832485005946e+00 1.194192352485069941e+00 -1.724174253297953328e+03 -7.765478464855149809e+00
1.230164127399208329e+00 2.346744814111713318e+00 1.348415990599440395e+00 3.441815673743454651e-01 -2.157160814077815569e+00 1.307611641934847579e+00 1.379036670887955340e+00 -7.612444118559306139e-01 3.693150941481006200e+00 1.162602829348986733e+00 -1.724149335272160442e+03 -6.158621963465323645e+00
1.230220551724876543e+00 2.346248247857526170e+00 1.350110952829439048e+00 3.523802474947870800e-01 -2.223591530262880589e+00 1.401596185880356060e+00 1.304453551276004264e+00 -7.638333233455999460e-01 3.695458915404005396e+00 1.196053142730853169e+00 -1.724148080809970679e+03 -5.471471913570987944e+00
1.230492642563759453e+00 2.351628501529951176e+00 1.339324224166279720e+00 3.368473696735385658e-01 -2.249259971224311982e+00 1.284532359015464920e+00 1.393245571367122349e+00 -6.998419140116254322e-01 3.698677421284263467e+00 1.215600441833337708e+00 -1.724132444114780355e+03 -6.178032484010523184e+00
1.230553689916685345e+00 2.350453853201861509e+00 1.336492107444059441e+00 3.435436668609325173e-01 -2.220076274910018466e+00 1.374127008309864673e+00 1.316043580733496476e+00 -7.182611082955375759e-01 3.700051046440910429e+00 1.257728360547278879e+00 -1.724122714522039360e+03 -5.075671469269239289e+00
1.230636542164120995e+00 2.349924687007584723e+00 1.335469106121687455e+00 3.463713459858456800e-01 -2.155440467370597801e+00 1.326218956646404878e+00 1.353017950883146803e+00 -7.048115214059232914e-01 3.703225782415751510e+00 1.178456673000602084e+00 -1.724118435455013014e+03 -5.228427600024756927e+00
1.230798651232549501e+00 2.350609565089909481e+00 1.330773662730788676e+00 3.404670153581838554e-01 -2.265235498445659967e+00 1.378735000893615226e+00 1.334559556598505337e+00 -7.332273913191562631e-01 3.694099654038251135e+00 1.233922058653066589e+00 -1.724114215725753184e+03 -4.977679806844552246e+00
1.230346769614245606e+00 2.346823562338796521e+00 1.345366463785113265e+00 3.439837607724037793e-01 -2.105793547064218174e+00 1.258465223944649436e+00 1.362388514949999907e+00 -6.263272904151682141e-01 3.703774484728962424e+00 1.191552120034309992e+00 -1.724066524129872505e+03 -7.610500649513057603e+00
1.230400159113108849e+00 2.348660351024683735e+00 1.343710643886609990e+00 3.403624815927798197e-01 -2.348496887424703861e+00 1.409977522096967473e+00 1.345908803069908011e+00 -7.399281202365453058e-01 3.697811672375409309e+00 1.196487898075590195e+00 -1.724027551072303368e+03 -4.477897774733010650e+00
1.230688044389401492e+00 2.347040407824527719e+00 1.333512540012000258e+00 3.431753390799736070e-01 -2.126455129801544608e+00 1.306516235108508450e+00 1.365517885382123486e+00 -7.143971933088480997e-01 3.697497821659150752e+00 1.188154897819243105e+00 -1.723988605088379927e+03 -4.199780181769561693e+00
1.229869385911374291e+00 2.348400745205854623e+00 1.360615762795143402e+00 3.398265652405589865e-01 -2.285482924519270487e+00 1.381568458644419017e+00 1.380084409518384181e+00 -7.665930439509415217e-01 3.693071727978459950e+00 1.189016650583687884e+00 -1.723953251775304807e+03 -6.996054232029916164e+00
1.231459730205662018e+00 2.350504607970062221e+00 1.309123935413262663e+00 3.423488993114013890e-01 -2.104913682859656632e+00 1.396950704608963534e+00 1.387050453336916567e+00 -7.018334326263677703e-01 3.698216072400176024e+00 1.117614228508474916e+00 -1.723914460488701025e+03 -8.599830907334078844e+00
1.230267646932504677e+00 2.350098125195380749e+00 1.349072852206639306e+00 3.428513453827625734e-01 -2.236439422358629692e+00 1.367418974946932764e+00 1.347887423459005696e+00 -6.980687219835773893e-01 3.700861535475990394e+00 1.189540853968912959e+00 -1.723857987172652201e+03 -4.527730093494492181e+00
1.230851222561183622e+00 2.346444996321122023e+00 1.328834464966018647e+00 3.417167662406509487e-01 -2.143398977379101566e+00 1.278831389489241355e+00 1.344080468518993765e+00 -6.663916740977896547e-01 3.696971299548408751e+00 1.195723086518054590e+00 -1.723772743453797148e+03 -4.847203183369743762e+00
1.230446204252086062e+00 2.343569130952178448e+00 1.341270760151068941e+00 3.500931798288711705e-01 -2.297996373749280785e+00 1.298366026673455131e+00 1.344815105044497194e+00 -7.027462351119934114e-01 3.695675755100848558e+00 1.239030991271170112e+00 -1.723748589412757610e+03 -5.548889566747220670e+00
1.230842363801274875e+00 2.353664930181186055e+00 1.330562580988423393e+00 3.440557612609019267e-01 -2.138760133960398768e+00 1.374858985472933615e+00 1.322955621862860420e+00 -7.031765017406657048e-01 3.691942332475937949e+00 1.280224162939691990e+00 -1.723717224348770060e+03 -6.760200612615639315e+00
